segment_id,environment,speaker_id,word_count,sentence_count,emotion_word_count,vulnerability_count,repair_count,second_person_count,directive_count,commitment_count,segment_start_iso,emotional_cost,role_constraint
banter_00131,banter,[user],1992,107,2,0,0,22,76,4,2000-01-04T04:12:00,1.5060240963855418,68.97590361445785
banter_00132,banter,[user],1932,94,0,0,0,18,90,7,2000-01-04T04:40:00,0.0,83.85093167701862
banter_00133,banter,[user],1997,68,0,1,0,7,69,3,2000-01-04T05:12:00,1.00150225338007,59.78968452679019
banter_00134,banter,[user],1931,119,2,0,0,28,68,2,2000-01-04T05:40:00,1.5535991714137751,65.25116519937855
banter_00135,banter,[user],1883,114,0,1,0,12,56,4,2000-01-04T06:14:00,1.0621348911311737,58.311205523101435
banter_00136,banter,[user],1831,85,1,1,0,7,74,4,2000-01-04T06:42:00,1.9115237575095574,72.09175314036045
banter_00137,banter,[user],1957,120,2,2,0,16,100,3,2000-01-04T06:58:00,3.576903423607563,95.65661727133367
banter_00138,banter,[user],1934,110,0,0,1,23,82,2,2000-01-04T07:28:00,0.5170630816959669,79.42088934850054
banter_00139,banter,[user],1708,97,0,0,0,25,76,7,2000-01-04T07:44:00,0.0,81.14754098360655
banter_00140,banter,[user],1588,110,0,0,0,11,78,1,2000-01-04T08:04:00,0.0,89.16876574307305
banter_00141,banter,[user],1748,124,1,1,0,23,76,3,2000-01-04T08:20:00,2.002288329519451,80.66361556064072
banter_00142,banter,[user],1992,73,0,0,0,36,76,1,2000-01-04T08:38:00,0.0,69.57831325301206
banter_00143,banter,[user],1815,75,0,0,0,25,111,5,2000-01-04T09:02:00,0.0,110.41322314049586
banter_00144,banter,[user],1943,166,0,0,1,16,93,6,2000-01-04T09:18:00,0.514668039114771,88.31703551209469
banter_00145,banter,[user],1941,113,0,0,0,21,62,5,2000-01-04T09:36:00,0.0,58.732612055641425
banter_00146,banter,[user],1966,140,1,0,0,24,98,11,2000-01-04T10:04:00,0.7629704984740588,91.25127161749747
banter_00147,banter,[user],1777,112,0,0,0,30,74,8,2000-01-04T10:32:00,0.0,75.63308947664602
banter_00148,banter,[user],1955,93,0,0,1,4,94,5,2000-01-04T10:50:00,0.5115089514066495,88.69565217391303
banter_00149,banter,[user],1675,67,0,0,0,4,96,1,2000-01-04T11:08:00,0.0,103.88059701492537
banter_00150,banter,[user],1435,83,0,1,0,11,69,0,2000-01-04T11:20:00,1.3937282229965158,83.20557491289199
