environment,bin,n_messages,total_tokens,score_anger,score_anticipation,score_disgust,score_fear,score_joy,score_sadness,score_surprise,score_trust,per1k_anger,per1k_anticipation,per1k_disgust,per1k_fear,per1k_joy,per1k_sadness,per1k_surprise,per1k_trust
four_guys,0,442,7387,0.00785393885889703,0.03408007206051482,0.006949519609758322,0.010148824233323176,0.035047493600491725,0.008830349718998856,0.017907188973292108,0.03384142774611871,7.853938858897033,34.08007206051482,6.949519609758324,10.14882423332318,35.047493600491734,8.83034971899886,17.907188973292115,33.84142774611872
four_guys,1,442,7512,0.0058373063474961105,0.03136175783721726,0.005534091101792091,0.00694062521309579,0.03319083816912833,0.007990797181540762,0.01719998115200111,0.029265224011954964,5.837306347496113,31.36175783721727,5.534091101792094,6.940625213095792,33.19083816912834,7.990797181540765,17.19998115200111,29.26522401195497
four_guys,2,442,7531,0.0074813570638343945,0.03025634810252371,0.00524643753828245,0.007446658966312742,0.027459792719692788,0.010471660330383702,0.013467651916777824,0.03125318270459452,7.481357063834397,30.25634810252372,5.246437538282453,7.446658966312745,27.459792719692796,10.471660330383706,13.467651916777829,31.253182704594526
four_guys,3,442,8533,0.007626637534431895,0.0336463352573438,0.005229718602670193,0.00909130172739119,0.03240639815647615,0.010066249757590589,0.015135307831581036,0.03187167142807368,7.626637534431898,33.64633525734381,5.229718602670196,9.091301727391194,32.40639815647616,10.066249757590594,15.135307831581041,31.871671428073682
four_guys,4,442,7542,0.009702445385845339,0.03542862414693745,0.0071870980721233275,0.013577821934816105,0.034458708690012045,0.01122952282110791,0.014544576228743143,0.03446289619557841,9.702445385845342,35.42862414693746,7.18709807212333,13.57782193481611,34.45870869001206,11.229522821107915,14.544576228743148,34.462896195578416
four_guys,5,442,9065,0.014185108463121487,0.02181742145977657,0.010543313416123839,0.01297194557132596,0.026564449353909243,0.014092882756916518,0.013551771156296626,0.04553430084093263,14.185108463121493,21.81742145977658,10.543313416123844,12.971945571325968,26.564449353909254,14.092882756916524,13.551771156296631,45.534300840932644
four_guys,6,442,9856,0.013705988351720386,0.029695617699726267,0.007326114180924228,0.018448439122759664,0.028030487245506826,0.013961679687534482,0.01342520891656901,0.04686627634189114,13.705988351720393,29.69561769972628,7.3261141809242325,18.448439122759673,28.030487245506837,13.96167968753449,13.425208916569016,46.86627634189116
four_guys,7,441,9293,0.011895151362626127,0.027519132438225836,0.00846179406998069,0.018286902269316365,0.02529753395932197,0.01762356893431221,0.010193668903472971,0.04508569905444641,11.895151362626132,27.519132438225842,8.461794069980693,18.28690226931637,25.29753395932197,17.62356893431222,10.193668903472977,45.08569905444643
four_guys,8,442,7961,0.013243210262951034,0.031995976242183116,0.009858101349304232,0.018143692056438714,0.03020207987431317,0.016580800967467484,0.017727587662569818,0.04438692695652834,13.243210262951038,31.995976242183126,9.858101349304235,18.14369205643872,30.20207987431318,16.58080096746749,17.727587662569825,44.386926956528356
four_guys,9,442,7184,0.01636897346910813,0.03695325104805045,0.0066713919130139505,0.012237846740251827,0.03025745439290568,0.01056034516011286,0.016470678819916193,0.04221661290378178,16.368973469108138,36.953251048050454,6.671391913013953,12.23784674025183,30.25745439290569,10.560345160112863,16.470678819916195,42.216612903781794
